OBJECTID,GEOID,CNTY_FIPS,COUSUBFP,WARDID,WARD_FIPS,SUPERID,SUPER_FIPS,ALDERID,ALDER_FIPS,CNTY_NAME,MCD_NAME,MCD_FIPS,CONTACT,DATE_SUB,CTV,NOTES,SCHOOLID,DOA,DOR,DOT,FIPS6,FIPS5,FIPS_Place,Change,Date
11,5500153725,55001,53725, , , , , , ,ADAMS,MONROE,5500153725,afaust@ncwrpc.org,7/6/2016 1:02:14 PM,T, , ,1018,1018,1018,001055,53725,5500153725, ,
12,5500156525,55001,56525, , , , , , ,ADAMS,NEW CHESTER,5500156525,afaust@ncwrpc.org,7/6/2016 1:02:14 PM,T, , ,1020,1020,1020,001060,56525,5500156525, ,
13,5500156750,55001,56750, , , , , , ,ADAMS,NEW HAVEN,5500156750,afaust@ncwrpc.org,7/6/2016 1:02:14 PM,T, , ,1022,1022,1022,001065,56750,5500156750, ,
14,5500165450,55001,65450, , , , , , ,ADAMS,PRESTON,5500165450,afaust@ncwrpc.org,7/6/2016 1:02:14 PM,T, , ,1024,1024,1024,001070,65450,5500165450, ,
15,5500165825,55001,65825, , , , , , ,ADAMS,QUINCY,5500165825,afaust@ncwrpc.org,7/6/2016 1:02:14 PM,T, , ,1026,1026,1026,001075,65825,5500165825, ,
16,5500167425,55001,67425, , , , , , ,ADAMS,RICHFIELD,5500167425,afaust@ncwrpc.org,7/6/2016 1:02:14 PM,T, , ,1028,1028,1028,001080,67425,5500167425, ,
17,5500169275,55001,69275, , , , , , ,ADAMS,ROME,5500169275,afaust@ncwrpc.org,7/6/2016 1:02:14 PM,T, , ,1030,1030,1030,001085,69275,5500169275, ,
18,5500176350,55001,76350, , , , , , ,ADAMS,SPRINGVILLE,5500176350,afaust@ncwrpc.org,7/6/2016 1:02:14 PM,T, , ,1032,1032,1032,001090,76350,5500176350, ,
19,5500177800,55001,77800, , , , , , ,ADAMS,STRONGS PRAIRIE,5500177800,afaust@ncwrpc.org,7/6/2016 1:02:14 PM,T, , ,1034,1034,1034,001095,77800,5500177800, ,
20,5500188150,55001,88150, , , , , , ,ADAMS,Wisconsin Dells,5500188150,afaust@ncwrpc.org,7/6/2016 1:02:14 PM,C, , ,1291,1291,1291,001100,88150,5500188150,Added,1987-09-21T00:00:00.000Z
21,5500300550,55003,00550, , , , , , ,ASHLAND,AGENDA,5500300550,tom.wojciechowski@ces.uwex.edu,7/15/2016 3:22:40 PM,T, , ,2002,2002,2002,003005,550,5500300550, ,
22,5500303225,55003,03225, , , , , , ,ASHLAND,Ashland,5500303225,tom.wojciechowski@ces.uwex.edu,7/15/2016 3:22:40 PM,C, , ,2201,2201,2201,003010,3225,5500303225, ,
23,5500303250,55003,03250, , , , , , ,ASHLAND,ASHLAND,5500303250,tom.wojciechowski@ces.uwex.edu,7/15/2016 3:22:40 PM,T, , ,2004,2004,2004,003015,3250,5500303250, ,
24,5500311525,55003,11525, , , , , , ,ASHLAND,Butternut,5500311525,tom.wojciechowski@ces.uwex.edu,7/15/2016 3:22:40 PM,V, , ,2106,2106,2106,003020,11525,5500311525, ,
25,5500314550,55003,14550, , , , , , ,ASHLAND,CHIPPEWA,5500314550,tom.wojciechowski@ces.uwex.edu,7/15/2016 3:22:40 PM,T, , ,2006,2006,2006,003025,14550,5500314550, ,
26,5500329250,55003,29250, , , , , , ,ASHLAND,GINGLES,5500329250,tom.wojciechowski@ces.uwex.edu,7/15/2016 3:22:40 PM,T, , ,2008,2008,2008,003030,29250,5500329250, ,
27,5500329875,55003,29875, , , , , , ,ASHLAND,GORDON,5500329875,tom.wojciechowski@ces.uwex.edu,7/15/2016 3:22:40 PM,T, , ,2010,2010,2010,003035,29875,5500329875, ,
28,5500337775,55003,37775, , , , , , ,ASHLAND,JACOBS,5500337775,tom.wojciechowski@ces.uwex.edu,7/15/2016 3:22:40 PM,T, , ,2012,2012,2012,003040,37775,5500337775, ,
29,5500342562,55003,42562, , , , , , ,ASHLAND,LA POINTE,5500342562,tom.wojciechowski@ces.uwex.edu,7/15/2016 3:22:40 PM,T, , ,2014,2014,2014,003045,42562,5500342562, ,
30,5500349200,55003,49200, , , , , , ,ASHLAND,MARENGO,5500349200,tom.wojciechowski@ces.uwex.edu,7/15/2016 3:22:40 PM,T, , ,2016,2016,2016,003050,49200,5500349200, ,
31,5500350700,55003,50700, , , , , , ,ASHLAND,Mellen,5500350700,tom.wojciechowski@ces.uwex.edu,7/15/2016 3:22:40 PM,C, , ,2251,2251,2251,003055,50700,5500350700, ,
32,5500354400,55003,54400, , , , , , ,ASHLAND,MORSE,5500354400,tom.wojciechowski@ces.uwex.edu,7/15/2016 3:22:40 PM,T, , ,2018,2018,2018,003060,54400,5500354400, ,
33,5500361600,55003,61600, , , , , , ,ASHLAND,PEEKSVILLE,5500361600,tom.wojciechowski@ces.uwex.edu,7/15/2016 3:22:40 PM,T, , ,2020,2020,2020,003065,61600,5500361600, ,
34,5500371350,55003,71350, , , , , , ,ASHLAND,SANBORN,5500371350,tom.wojciechowski@ces.uwex.edu,7/15/2016 3:22:40 PM,T, , ,2022,2022,2022,003070,71350,5500371350, ,
35,5500372825,55003,72825, , , , , , ,ASHLAND,SHANAGOLDEN,5500372825,tom.wojciechowski@ces.uwex.edu,7/15/2016 3:22:40 PM,T, , ,2024,2024,2024,003075,72825,5500372825, ,
36,5500386850,55003,86850, , , , , , ,ASHLAND,WHITE RIVER,5500386850,tom.wojciechowski@ces.uwex.edu,7/15/2016 3:22:40 PM,T, , ,2026,2026,2026,003080,86850,5500386850, ,
37,5500501325,55005,01325, , , , , , ,BARRON,Almena,5500501325,rhonda.sukys@co.barron.wi.us,7/11/2016 1:31:59 PM,V, , ,3101,3101,3101,005010,1325,5500501325, ,
38,5500501350,55005,01350, , , , , , ,BARRON,ALMENA,5500501350,rhonda.sukys@co.barron.wi.us,7/11/2016 1:31:59 PM,T, , ,3002,3002,3002,005005,1350,5500501350, ,
39,5500502775,55005,02775, , , , , , ,BARRON,ARLAND,5500502775,rhonda.sukys@co.barron.wi.us,7/11/2016 1:31:59 PM,T, , ,3004,3004,3004,005015,2775,5500502775, ,
40,5500504875,55005,04875, , , , , , ,BARRON,Barron,5500504875,rhonda.sukys@co.barron.wi.us,7/11/2016 1:31:59 PM,C, , ,3206,3206,3206,005020,4875,5500504875, ,
41,5500504900,55005,04900, , , , , , ,BARRON,BARRON,5500504900,rhonda.sukys@co.barron.wi.us,7/11/2016 1:31:59 PM,T, , ,3006,3006,3006,005025,4900,5500504900, ,
42,5500505650,55005,05650, , , , , , ,BARRON,BEAR LAKE,5500505650,rhonda.sukys@co.barron.wi.us,7/11/2016 1:31:59 PM,T, , ,3008,3008,3008,005030,5650,5500505650, ,
43,5500512250,55005,12250, , , , , , ,BARRON,Cameron,5500512250,rhonda.sukys@co.barron.wi.us,7/11/2016 1:31:59 PM,V, , ,3111,3111,3111,005035,12250,5500512250, ,
44,5500513500,55005,13500, , , , , , ,BARRON,CEDAR LAKE,5500513500,rhonda.sukys@co.barron.wi.us,7/11/2016 1:31:59 PM,T, , ,3010,3010,3010,005040,13500,5500513500, ,
45,5500514325,55005,14325, , , , , , ,BARRON,Chetek,5500514325,rhonda.sukys@co.barron.wi.us,7/11/2016 1:31:59 PM,C, , ,3211,3211,3211,005045,14325,5500514325, ,
46,5500514350,55005,14350, , , , , , ,BARRON,CHETEK,5500514350,rhonda.sukys@co.barron.wi.us,7/11/2016 1:31:59 PM,T, , ,3012,3012,3012,005050,14350,5500514350, ,
47,5500515600,55005,15600, , , , , , ,BARRON,CLINTON,5500515600,rhonda.sukys@co.barron.wi.us,7/11/2016 1:31:59 PM,T, , ,3014,3014,3014,005055,15600,5500515600, ,
48,5500517875,55005,17875, , , , , , ,BARRON,CRYSTAL LAKE,5500517875,rhonda.sukys@co.barron.wi.us,7/11/2016 1:31:59 PM,T, , ,3016,3016,3016,005060,17875,5500517875, ,
49,5500518025,55005,18025, , , , , , ,BARRON,Cumberland,5500518025,rhonda.sukys@co.barron.wi.us,7/11/2016 1:31:59 PM,C, , ,3212,3212,3212,005065,18025,5500518025, ,
50,5500518050,55005,18050, , , , , , ,BARRON,CUMBERLAND,5500518050,rhonda.sukys@co.barron.wi.us,7/11/2016 1:31:59 PM,T, , ,3018,3018,3018,005070,18050,5500518050, ,
51,5500518575,55005,18575, , , , , , ,BARRON,Dallas,5500518575,rhonda.sukys@co.barron.wi.us,7/11/2016 1:31:59 PM,V, , ,3116,3116,3116,005080,18575,5500518575, ,
52,5500518600,55005,18600, , , , , , ,BARRON,DALLAS,5500518600,rhonda.sukys@co.barron.wi.us,7/11/2016 1:31:59 PM,T, , ,3020,3020,3020,005075,18600,5500518600, ,
53,5500520650,55005,20650, , , , , , ,BARRON,DOVRE,5500520650,rhonda.sukys@co.barron.wi.us,7/11/2016 1:31:59 PM,T, , ,3022,3022,3022,005085,20650,5500520650, ,
54,5500520750,55005,20750, , , , , , ,BARRON,DOYLE,5500520750,rhonda.sukys@co.barron.wi.us,7/11/2016 1:31:59 PM,T, , ,3024,3024,3024,005090,20750,5500520750, ,
55,5500533225,55005,33225, , , , , , ,BARRON,Haugen,5500533225,rhonda.sukys@co.barron.wi.us,7/11/2016 1:31:59 PM,V, , ,3136,3136,3136,005095,33225,5500533225, ,
56,5500541600,55005,41600, , , , , , ,BARRON,LAKELAND,5500541600,rhonda.sukys@co.barron.wi.us,7/11/2016 1:31:59 PM,T, , ,3026,3026,3026,005100,41600,5500541600, ,
57,5500548825,55005,48825, , , , , , ,BARRON,MAPLE GROVE,5500548825,rhonda.sukys@co.barron.wi.us,7/11/2016 1:31:59 PM,T, , ,3028,3028,3028,005105,48825,5500548825, ,
58,5500548950,55005,48950, , , , , , ,BARRON,MAPLE PLAIN,5500548950,rhonda.sukys@co.barron.wi.us,7/11/2016 1:31:59 PM,T, , ,3030,3030,3030,005110,48950,5500548950, ,
59,5500556350,55005,56350, , , , , , ,BARRON,New Auburn,5500556350,rhonda.sukys@co.barron.wi.us,7/11/2016 1:31:59 PM,V, , ,3151,3151,3151,005112,56350,5500556350, ,
60,5500558950,55005,58950, , , , , , ,BARRON,OAK GROVE,5500558950,rhonda.sukys@co.barron.wi.us,7/11/2016 1:31:59 PM,T, , ,3032,3032,3032,005115,58950,5500558950, ,
61,5500565150,55005,65150, , , , , , ,BARRON,Prairie Farm,5500565150,rhonda.sukys@co.barron.wi.us,7/11/2016 1:31:59 PM,V, , ,3171,3171,3171,005125,65150,5500565150, ,
62,5500565175,55005,65175, , , , , , ,BARRON,PRAIRIE FARM,5500565175,rhonda.sukys@co.barron.wi.us,7/11/2016 1:31:59 PM,T, , ,3034,3034,3034,005120,65175,5500565175, ,
63,5500565200,55005,65200, , , , , , ,BARRON,PRAIRIE LAKE,5500565200,rhonda.sukys@co.barron.wi.us,7/11/2016 1:31:59 PM,T, , ,3036,3036,3036,005130,65200,5500565200, ,
64,5500567350,55005,67350, , , , , , ,BARRON,Rice Lake,5500567350,rhonda.sukys@co.barron.wi.us,7/11/2016 1:31:59 PM,C, , ,3276,3276,3276,005135,67350,5500567350, ,
65,5500567375,55005,67375, , , , , , ,BARRON,RICE LAKE,5500567375,rhonda.sukys@co.barron.wi.us,7/11/2016 1:31:59 PM,T, , ,3038,3038,3038,005140,67375,5500567375, ,
66,5500574125,55005,74125, , , , , , ,BARRON,SIOUX CREEK,5500574125,rhonda.sukys@co.barron.wi.us,7/11/2016 1:31:59 PM,T, , ,3040,3040,3040,005145,74125,5500574125, ,
67,5500576550,55005,76550, , , , , , ,BARRON,STANFOLD,5500576550,rhonda.sukys@co.barron.wi.us,7/11/2016 1:31:59 PM,T, , ,3042,3042,3042,005150,76550,5500576550, ,
68,5500576600,55005,76600, , , , , , ,BARRON,STANLEY,5500576600,rhonda.sukys@co.barron.wi.us,7/11/2016 1:31:59 PM,T, , ,3044,3044,3044,005155,76600,5500576600, ,
69,5500578450,55005,78450, , , , , , ,BARRON,SUMNER,5500578450,rhonda.sukys@co.barron.wi.us,7/11/2016 1:31:59 PM,T, , ,3046,3046,3046,005160,78450,5500578450, ,
70,5500581075,55005,81075, , , , , , ,BARRON,Turtle Lake,5500581075,rhonda.sukys@co.barron.wi.us,7/11/2016 1:31:59 PM,V, , ,3186,3186,3186,005170,81075,5500581075, ,
71,5500581100,55005,81100, , , , , , ,BARRON,TURTLE LAKE,5500581100,rhonda.sukys@co.barron.wi.us,7/11/2016 1:31:59 PM,T, , ,3048,3048,3048,005165,81100,5500581100, ,
72,5500582375,55005,82375, , , , , , ,BARRON,VANCE CREEK,5500582375,rhonda.sukys@co.barron.wi.us,7/11/2016 1:31:59 PM,T, , ,3050,3050,3050,005175,82375,5500582375, ,
73,5500703225,55007,03225, , , , , , ,BAYFIELD,Ashland,5500703225,cnovak@bayfieldcounty.org,7/13/2016 9:50:04 AM,C, , ,4201,4201,4201,007032,3225,5500703225,Added,2003-11-04T00:00:00.000Z
74,5500704725,55007,04725, , , , , , ,BAYFIELD,BARKSDALE,5500704725,cnovak@bayfieldcounty.org,7/13/2016 9:50:04 AM,T, , ,4002,4002,4002,007005,4725,5500704725, ,
75,5500704750,55007,04750, , , , , , ,BAYFIELD,BARNES,5500704750,cnovak@bayfieldcounty.org,7/13/2016 9:50:04 AM,T, , ,4004,4004,4004,007010,4750,5500704750, ,
76,5500705350,55007,05350, , , , , , ,BAYFIELD,Bayfield,5500705350,cnovak@bayfieldcounty.org,7/13/2016 9:50:04 AM,C, , ,4206,4206,4206,007015,5350,5500705350, ,
77,5500705375,55007,05375, , , , , , ,BAYFIELD,BAYFIELD,5500705375,cnovak@bayfieldcounty.org,7/13/2016 9:50:04 AM,T, , ,4006,4006,4006,007020,5375,5500705375, ,
78,5500705475,55007,05475, , , , , , ,BAYFIELD,BAYVIEW,5500705475,cnovak@bayfieldcounty.org,7/13/2016 9:50:04 AM,T, , ,4008,4008,4008,007025,5475,5500705475, ,
79,5500706200,55007,06200, , , , , , ,BAYFIELD,BELL,5500706200,cnovak@bayfieldcounty.org,7/13/2016 9:50:04 AM,T, , ,4010,4010,4010,007030,6200,5500706200, ,
80,5500711675,55007,11675, , , , , , ,BAYFIELD,CABLE,5500711675,cnovak@bayfieldcounty.org,7/13/2016 9:50:04 AM,T, , ,4012,4012,4012,007035,11675,5500711675, ,
81,5500715750,55007,15750, , , , , , ,BAYFIELD,CLOVER,5500715750,cnovak@bayfieldcounty.org,7/13/2016 9:50:04 AM,T, , ,4014,4014,4014,007045,15750,5500715750, ,
82,5500719662,55007,19662, , , , , , ,BAYFIELD,DELTA,5500719662,cnovak@bayfieldcounty.org,7/13/2016 9:50:04 AM,T, , ,4016,4016,4016,007050,19662,5500719662, ,
83,5500720887,55007,20887, , , , , , ,BAYFIELD,DRUMMOND,5500720887,cnovak@bayfieldcounty.org,7/13/2016 9:50:04 AM,T, , ,4018,4018,4018,007055,20887,5500720887, ,
84,5500722925,55007,22925, , , , , , ,BAYFIELD,EILEEN,5500722925,cnovak@bayfieldcounty.org,7/13/2016 9:50:04 AM,T, , ,4020,4020,4020,007060,22925,5500722925, ,
85,5500730175,55007,30175, , , , , , ,BAYFIELD,GRANDVIEW,5500730175,cnovak@bayfieldcounty.org,7/13/2016 9:50:04 AM,T, , ,4021,4021,4021,007063,30175,5500730175, ,
86,5500736300,55007,36300, , , , , , ,BAYFIELD,HUGHES,5500736300,cnovak@bayfieldcounty.org,7/13/2016 9:50:04 AM,T, , ,4022,4022,4022,007065,36300,5500736300, ,
87,5500737200,55007,37200, , , , , , ,BAYFIELD,IRON RIVER,5500737200,cnovak@bayfieldcounty.org,7/13/2016 9:50:04 AM,T, , ,4024,4024,4024,007070,37200,5500737200, ,
88,5500739025,55007,39025, , , , , , ,BAYFIELD,KELLY,5500739025,cnovak@bayfieldcounty.org,7/13/2016 9:50:04 AM,T, , ,4026,4026,4026,007075,39025,5500739025, ,
89,5500739425,55007,39425, , , , , , ,BAYFIELD,KEYSTONE,5500739425,cnovak@bayfieldcounty.org,7/13/2016 9:50:04 AM,T, , ,4028,4028,4028,007080,39425,5500739425, ,
90,5500744275,55007,44275, , , , , , ,BAYFIELD,LINCOLN,5500744275,cnovak@bayfieldcounty.org,7/13/2016 9:50:04 AM,T, , ,4030,4030,4030,007085,44275,5500744275, ,
91,5500749900,55007,49900, , , , , , ,BAYFIELD,Mason,5500749900,cnovak@bayfieldcounty.org,7/13/2016 9:50:04 AM,V, , ,4151,4151,4151,007095,49900,5500749900, ,
92,5500749925,55007,49925, , , , , , ,BAYFIELD,MASON,5500749925,cnovak@bayfieldcounty.org,7/13/2016 9:50:04 AM,T, , ,4032,4032,4032,007090,49925,5500749925, ,
93,5500755375,55007,55375, , , , , , ,BAYFIELD,NAMAKAGON,5500755375,cnovak@bayfieldcounty.org,7/13/2016 9:50:04 AM,T, , ,4034,4034,4034,007100,55375,5500755375, ,
94,5500760275,55007,60275, , , , , , ,BAYFIELD,ORIENTA,5500760275,cnovak@bayfieldcounty.org,7/13/2016 9:50:04 AM,T, , ,4036,4036,4036,007105,60275,5500760275, ,
95,5500760775,55007,60775, , , , , , ,BAYFIELD,OULU,5500760775,cnovak@bayfieldcounty.org,7/13/2016 9:50:04 AM,T, , ,4038,4038,4038,007110,60775,5500760775, ,
96,5500762700,55007,62700, , , , , , ,BAYFIELD,PILSEN,5500762700,cnovak@bayfieldcounty.org,7/13/2016 9:50:04 AM,T, , ,4040,4040,4040,007115,62700,5500762700, ,
97,5500764512,55007,64512, , , , , , ,BAYFIELD,PORT WING,5500764512,cnovak@bayfieldcounty.org,7/13/2016 9:50:04 AM,T, , ,4042,4042,4042,007120,64512,5500764512, ,
98,5500770300,55007,70300, , , , , , ,BAYFIELD,RUSSELL,5500770300,cnovak@bayfieldcounty.org,7/13/2016 9:50:04 AM,T, , ,4046,4046,4046,007130,70300,5500770300, ,
99,5500780750,55007,80750, , , , , , ,BAYFIELD,TRIPP,5500780750,cnovak@bayfieldcounty.org,7/13/2016 9:50:04 AM,T, , ,4048,4048,4048,007135,80750,5500780750, ,
100,5500783525,55007,83525, , , , , , ,BAYFIELD,Washburn,5500783525,cnovak@bayfieldcounty.org,7/13/2016 9:50:04 AM,C, , ,4291,4291,4291,007140,83525,5500783525, ,
101,5500783550,55007,83550, , , , , , ,BAYFIELD,WASHBURN,5500783550,cnovak@bayfieldcounty.org,7/13/2016 9:50:04 AM,T, , ,4050,4050,4050,007145,83550,5500783550, ,
102,5500901150,55009,01150, , , , , , ,BROWN,Allouez,5500901150,DuMez_JD@co.brown.wi.us,7/13/2016 3:31:41 PM,V, , ,5102,5102,5102,009005,1150,5500901150,Added,1986-02-10T00:00:00.000Z
103,5500903425,55009,03425, , , , , , ,BROWN,Ashwaubenon,5500903425,DuMez_JD@co.brown.wi.us,7/13/2016 3:31:41 PM,V, , ,5104,5104,5104,009012,3425,5500903425, ,
104,5500906350,55009,06350, , , , , , ,BROWN,Bellevue,5500906350,DuMez_JD@co.brown.wi.us,7/13/2016 3:31:41 PM,V, , ,5106,5106,5106,00919,6350,5500906350,Added,2003-02-14T00:00:00.000Z
105,5500919700,55009,19700, , , , , , ,BROWN,Denmark,5500919700,DuMez_JD@co.brown.wi.us,7/13/2016 3:31:41 PM,V, , ,5116,5116,5116,009020,19700,5500919700, ,
106,5500919775,55009,19775, , , , , , ,BROWN,De Pere,5500919775,DuMez_JD@co.brown.wi.us,7/13/2016 3:31:41 PM,C, , ,5216,5216,5216,009025,19775,5500919775, ,
107,5500922225,55009,22225, , , , , , ,BROWN,EATON,5500922225,DuMez_JD@co.brown.wi.us,7/13/2016 3:31:41 PM,T, , ,5010,5010,5010,009035,22225,5500922225, ,
108,5500929550,55009,29550, , , , , , ,BROWN,GLENMORE,5500929550,DuMez_JD@co.brown.wi.us,7/13/2016 3:31:41 PM,T, , ,5012,5012,5012,009040,29550,5500929550, ,
109,5500931000,55009,31000, , , , , , ,BROWN,Green Bay,5500931000,DuMez_JD@co.brown.wi.us,7/13/2016 3:31:41 PM,C, , ,5231,5231,5231,009045,31000,5500931000, ,
110,5500931025,55009,31025, , , , , , ,BROWN,GREEN BAY,5500931025,DuMez_JD@co.brown.wi.us,7/13/2016 3:31:41 PM,T, , ,5014,5014,5014,009050,31025,5500931025, ,
111,5500935150,55009,35150, , , , , , ,BROWN,Hobart,5500935150,DuMez_JD@co.brown.wi.us,7/13/2016 3:31:41 PM,V, , ,5016,5016,5016,009055,35150,5500935150,Deleted,2002-05-13T00:00:00.000Z
112,5500935325,55009,35325, , , , , , ,BROWN,HOLLAND,5500935325,DuMez_JD@co.brown.wi.us,7/13/2016 3:31:41 PM,T, , ,5018,5018,5018,009060,35325,5500935325, ,
113,5500935950,55009,35950, , , , , , ,BROWN,Howard,5500935950,DuMez_JD@co.brown.wi.us,7/13/2016 3:31:41 PM,V, , ,5136,5136,5136,009065,35950,5500935950, ,
114,5500936425,55009,36425, , , , , , ,BROWN,HUMBOLDT,5500936425,DuMez_JD@co.brown.wi.us,7/13/2016 3:31:41 PM,T, , ,5022,5022,5022,009070,36425,5500936425, ,
115,5500942900,55009,42900, , , , , , ,BROWN,LAWRENCE,5500942900,DuMez_JD@co.brown.wi.us,7/13/2016 3:31:41 PM,T, , ,5024,5024,5024,009075,42900,5500942900, ,
116,5500943090,55009,43090, , , , , , ,BROWN,LEDGEVIEW,5500943090,DuMez_JD@co.brown.wi.us,7/13/2016 3:31:41 PM,T, , ,5025,5025,5025,009077,43090,5500943090,Added,1994-08-01T00:00:00.000Z
117,5500954300,55009,54300, , , , , , ,BROWN,MORRISON,5500954300,DuMez_JD@co.brown.wi.us,7/13/2016 3:31:41 PM,T, , ,5026,5026,5026,009080,54300,5500954300, ,
118,5500956575,55009,56575, , , , , , ,BROWN,NEW DENMARK,5500956575,DuMez_JD@co.brown.wi.us,7/13/2016 3:31:41 PM,T, , ,5028,5028,5028,009085,56575,5500956575, ,
119,5500963075,55009,63075, , , , , , ,BROWN,PITTSFIELD,5500963075,DuMez_JD@co.brown.wi.us,7/13/2016 3:31:41 PM,T, , ,5030,5030,5030,009090,63075,5500963075, ,
120,5500965675,55009,65675, , , , , , ,BROWN,Pulaski,5500965675,DuMez_JD@co.brown.wi.us,7/13/2016 3:31:41 PM,V, , ,5171,5171,5171,009100,65675,5500965675, ,
121,5500968875,55009,68875, , , , , , ,BROWN,ROCKLAND,5500968875,DuMez_JD@co.brown.wi.us,7/13/2016 3:31:41 PM,T, , ,5034,5034,5034,009105,68875,5500968875, ,
122,5500972200,55009,72200, , , , , , ,BROWN,SCOTT,5500972200,DuMez_JD@co.brown.wi.us,7/13/2016 3:31:41 PM,T, , ,5036,5036,5036,009110,72200,5500972200, ,
123,5500977975,55009,77975, , , , , , ,BROWN,Suamico,5500977975,DuMez_JD@co.brown.wi.us,7/13/2016 3:31:41 PM,V, , ,5038,5038,5038,009115,77975,5500977975,Deleted,2003-09-08T00:00:00.000Z
124,5500989150,55009,89150, , , , , , ,BROWN,Wrightstown,5500989150,DuMez_JD@co.brown.wi.us,7/13/2016 3:31:41 PM,V, , ,5191,5191,5191,009125,89150,5500989150, ,
125,5500989175,55009,89175, , , , , , ,BROWN,WRIGHTSTOWN,5500989175,DuMez_JD@co.brown.wi.us,7/13/2016 3:31:41 PM,T, , ,5040,5040,5040,009120,89175,5500989175, ,
126,5501101225,55011,01225, , , , , , ,BUFFALO,Alma,5501101225,jason.poser@co.buffalo.wi.us,7/13/2016 7:28:29 AM,C, , ,6201,6201,6201,011005,1225,5501101225, ,
127,5501101250,55011,01250, , , , , , ,BUFFALO,ALMA,5501101250,jason.poser@co.buffalo.wi.us,7/13/2016 7:28:29 AM,T, , ,6002,6002,6002,011010,1250,5501101250, ,
128,5501106675,55011,06675, , , , , , ,BUFFALO,BELVIDERE,5501106675,jason.poser@co.buffalo.wi.us,7/13/2016 7:28:29 AM,T, , ,6004,6004,6004,011015,6675,5501106675, ,
129,5501111025,55011,11025, , , , , , ,BUFFALO,BUFFALO,5501111025,jason.poser@co.buffalo.wi.us,7/13/2016 7:28:29 AM,T, , ,6006,6006,6006,011025,11025,5501111025, ,
130,5501111062,55011,11062, , , , , , ,BUFFALO,Buffalo City,5501111062,jason.poser@co.buffalo.wi.us,7/13/2016 7:28:29 AM,C, , ,6206,6206,6206,011020,11062,5501111062,FIPS5 changed from 11000 in 2000 Census,2000-04-01T00:00:00.000Z
131,5501112500,55011,12500, , , , , , ,BUFFALO,CANTON,5501112500,jason.poser@co.buffalo.wi.us,7/13/2016 7:28:29 AM,T, , ,6008,6008,6008,011030,12500,5501112500, ,
132,5501116025,55011,16025, , , , , , ,BUFFALO,Cochrane,5501116025,jason.poser@co.buffalo.wi.us,7/13/2016 7:28:29 AM,V, , ,6111,6111,6111,011035,16025,5501116025, ,
133,5501117737,55011,17737, , , , , , ,BUFFALO,CROSS,5501117737,jason.poser@co.buffalo.wi.us,7/13/2016 7:28:29 AM,T, , ,6010,6010,6010,011040,17737,5501117737, ,
134,5501120575,55011,20575, , , , , , ,BUFFALO,DOVER,5501120575,jason.poser@co.buffalo.wi.us,7/13/2016 7:28:29 AM,T, , ,6012,6012,6012,011045,20575,5501120575, ,
135,5501126850,55011,26850, , , , , , ,BUFFALO,Fountain City,5501126850,jason.poser@co.buffalo.wi.us,7/13/2016 7:28:29 AM,C, , ,6226,6226,6226,011050,26850,5501126850, ,
